Molecule ChEMBL ID,Molecule Name,Smiles,Standard Relation,Standard Type,Standard Value,Assay Description,Document Journal,Document Year,Data Validity Comment
CHEMBL3322777,,COc1ccc2c(c1)NC1(CCN(C(=O)c3ccc(OC)c(N(C)C)c3)CC1)c1cccn1-2,'=',IC50,572.0,Inhibition of human Nav1.5 expressed in HEK293 cells after 60 mins by FLIPR assay,Bioorg Med Chem Lett,2014,
CHEMBL3687608,,COc1cc(-c2cccc(F)c2)c(Cl)cc1-c1nccc2cc(S(=O)(=O)Nc3ccon3)ccc12,'>',IC50,30000.0,"In Vitro PX Assay: 293 cells stably transfected with Nav 1.5 were recorded in whole cell voltage clamp mode with the PatchXpress automated electrophysiology system according the manufacturer's specifications (Molecular Devices, LLC, Sunnyvale, Calif.). Cells were held at a holding potential of −50 mV to inactivate sodium channels. To elicit sodium currents the voltage was changed to −120 mV to recover a portion of the channels, followed by delivery of test pulses of 20 msec duration to 0 mV, at 0.1 Hz. A single concentration of test compound was applied to cells for a duration of 5 minutes. Peak sodium current was measured at the end of the compound addition period to determine percent inhibition.",,2015,
CHEMBL3687538,,COc1cc(C(F)(F)F)ccc1-c1ncnc2cc(S(=O)(=O)Nc3nccs3)ccc12,'>',IC50,30000.0,"In Vitro PX Assay: 293 cells stably transfected with Nav 1.5 were recorded in whole cell voltage clamp mode with the PatchXpress automated electrophysiology system according the manufacturer's specifications (Molecular Devices, LLC, Sunnyvale, Calif.). Cells were held at a holding potential of −50 mV to inactivate sodium channels. To elicit sodium currents the voltage was changed to −120 mV to recover a portion of the channels, followed by delivery of test pulses of 20 msec duration to 0 mV, at 0.1 Hz. A single concentration of test compound was applied to cells for a duration of 5 minutes. Peak sodium current was measured at the end of the compound addition period to determine percent inhibition.",,2015,
CHEMBL2386850,,Cc1cc(Oc2cncnc2)cc(C(=O)Nc2ccc(F)cn2)n1,'>',IC50,100000.0,Inhibition of human Nav1.5 at tonic phase expressed in CHO cells by automated patch clamp assay,J Med Chem,2017,
CHEMBL3325536,,CN1CC[C@@H](c2ccc(Cl)cc2)[C@H](COc2cc(F)c(S(=O)(=O)Nc3ncns3)cc2F)C1,'>',IC50,10000.0,Inhibition of human Nav1.5 expressed in HEK cells assessed as reduction in sodium current at -60 mV holding potential by PatchXpress platform based whole cell patch clamp electrophysiological assay,Bioorg Med Chem Lett,2014,
CHEMBL2069427,,COc1cnc(-c2cccc3c2C[C@H](NC(=O)c2ccc(COCC(F)(F)F)nc2)CO3)cn1,'=',IC50,13000.0,Inhibition of human voltage-gated Na channel 1.5 by cell based patch clamp technique,J Med Chem,2013,
CHEMBL2011947,,Nc1ncnc(Nc2ccc(Oc3ccc(Cl)cc3)cc2)n1,'>',IC50,10000.0,Antagonist activity at human non-inactivated NaV 1.5 channel expressed in HEK293 cells by manual whole cell patch clamp assay,Bioorg Med Chem Lett,2012,
CHEMBL2010816,,Nc1cncc(Nc2ccc(Oc3ccc(OC(F)(F)F)cc3)cc2)n1,'=',IC50,10000.0,Antagonist activity at human non-inactivated NaV 1.5 channel expressed in HEK293 cells by manual whole cell patch clamp assay,Bioorg Med Chem Lett,2012,
CHEMBL1915364,,Cl.O=C(CCc1ccccc1)c1cc(F)ccc1OCC(O)CN1CCN(C(c2ccccc2)c2ccccc2)CC1,'>',IC50,5000.0,Inhibition of human cloned Nav1.5 channel expressed in chinese hamster CHO cells assessed as phasic inhibition after 5 mins by patch clamp assay,J Med Chem,2011,
CHEMBL3930997,,COc1ccccc1N1CCOc2cc(S(=O)(=O)Nc3nccs3)ccc21,'>',IC50,30000.0,Inhibition of human NaV1.5 expressed in HEK295 cells at holding potential of -125 mV with test potentials to -10 mV by whole cell voltage clamp method,Bioorg Med Chem Lett,2017,
CHEMBL3617053,,O=C(Nc1ccc(S(=O)(=O)Nc2nccs2)cc1)C(c1ccccc1)c1ccccc1,'>',IC50,10000.0,Inhibition of human NaV1.5 channel expressed in HEK293 cells by patch clamp electrophysiology assay,J Med Chem,2015,
CHEMBL2324000,,Cn1nccc1-c1ccccc1Oc1ccc(S(=O)(=O)Nc2nccs2)cc1C#N,'>',IC50,10000.0,Inhibition of human Nav1.5,Bioorg Med Chem Lett,2014,
CHEMBL3341985,,CS(=O)(=O)NC(=O)c1cc(Cl)c(OCC23CC4CC(CC(C4)C2)C3)cc1F,'=',IC50,1900.0,"Electrophysiological Assay: Patch voltage clamp electrophysiology allows for the direct measurement and quantification of block of voltage-gated sodium channels (NaV's), and allows the determination of the time- and voltage-dependence of block which has been interpreted as differential binding to the resting, open, and inactivated states of the sodium channel (Hille, B., Journal of General Physiology (1977), 69: 497-515).The following patch voltage clamp electrophysiology studies were performed on representative compounds of the invention using human embryonic kidney cells (HEK), permanently transfected with an expression vector containing the full-length cDNA coding for the desired human sodium channel alpha -subunit, grown in culture media containing 10% FBS, 1% PSG, and 0.5 mg/mL G418 at 37 C. with 5% CO2. HEK cells used for the electrophysiology (EP) recordings had a passage number of less than 40 for all studies and were used within three days from the time of plating.",,2015,
CHEMBL3657943,,O=C(NS(=O)(=O)N1CC(F)(F)C1)c1cc(C2CC2)c(OCC23CC4CC(CC(C4)C2)C3)cc1F,'=',IC50,326.0,"Electrophysiological Assay: Patch voltage clamp electrophysiology allows for the direct measurement and quantification of block of voltage-gated sodium channels (NaV's), and allows the determination of the time- and voltage-dependence of block which has been interpreted as differential binding to the resting, open, and inactivated states of the sodium channel (Hille, B., Journal of General Physiology (1977), 69: 497-515).The following patch voltage clamp electrophysiology studies were performed on representative compounds of the invention using human embryonic kidney cells (HEK), permanently transfected with an expression vector containing the full-length cDNA coding for the desired human sodium channel alpha -subunit, grown in culture media containing 10% FBS, 1% PSG, and 0.5 mg/mL G418 at 37 C. with 5% CO2. HEK cells used for the electrophysiology (EP) recordings had a passage number of less than 40 for all studies and were used within three days from the time of plating.",,2015,
CHEMBL3236343,,O=C(NCc1noc(-c2nn(CCn3ccnc3)c3ccccc23)n1)c1ccccc1,'=',IC50,19000.0,Inhibition of human Nav1.5 assessed as inactivated-state block by patch-clamp electrophysiology/cell based assay,J Med Chem,2014,
CHEMBL2018453,,Cc1ccc(O)c(C)c1OCC(C)N,'=',IC50,174000.0,Blockade of human full-length NaV1.5 expressed in HEK293 cells co-transfected with pCD8-IRES-hbeta1 assessed as 0.1 Hz of half-maximal tonic-induced channel current at -120 mV holding potential after 36 to 72 hrs by patch clamp assay,J Med Chem,2012,Outside typical range
CHEMBL2164367,,CC1(C(=O)NCc2ccc(OC(F)(F)F)cc2)c2ccccc2C(=O)N1CCc1ccccn1,'>',IC50,31000.0,Inhibition of human NaV1.5 alpha subunit expressed in CHOK1 cells at -90 mV holding potential by patch clamp electrophysiological assay,J Med Chem,2012,
CHEMBL2164373,,O=C(NCc1ccc(OC(F)(F)F)cc1)C1c2ccccc2C(=O)N1C1CCC(F)(F)CC1,'=',IC50,14000.0,Inhibition of human NaV1.5 alpha subunit expressed in CHOK1 cells at -90 mV holding potential by patch clamp electrophysiological assay,J Med Chem,2012,
CHEMBL3687606,,COc1cc(-c2cccc(F)c2)c(Cl)cc1-c1nccc2cc(S(=O)(=O)Nc3ccncn3)ccc12,'=',IC50,20300.0,"In Vitro PX Assay: 293 cells stably transfected with Nav 1.5 were recorded in whole cell voltage clamp mode with the PatchXpress automated electrophysiology system according the manufacturer's specifications (Molecular Devices, LLC, Sunnyvale, Calif.). Cells were held at a holding potential of −50 mV to inactivate sodium channels. To elicit sodium currents the voltage was changed to −120 mV to recover a portion of the channels, followed by delivery of test pulses of 20 msec duration to 0 mV, at 0.1 Hz. A single concentration of test compound was applied to cells for a duration of 5 minutes. Peak sodium current was measured at the end of the compound addition period to determine percent inhibition.",,2015,
CHEMBL4071860,,O=S(=O)(Nc1nccs1)c1cc(Cl)c(NC[C@@]23CCCO[C@@H]2OCC3)cc1F,'=',IC50,614.0,Inhibition of human Nav1.5 inactivated state form expressed in HEK293 cells at -60 mV holding potential by by automated patch clamp electrophysiology assay,Bioorg Med Chem,2017,
